Date,Forecast
2023-04-21,60.31359201560587
2023-04-22,66.28303971429563
2023-04-23,47.42134806644566
2023-04-24,59.20166150066457
2023-04-25,59.62726584504587
2023-04-26,53.23352285539376
2023-04-27,58.0486334321575
2023-04-28,57.54586291663048
2023-04-29,55.46528438346725
2023-04-30,57.36196740538643
2023-05-01,56.93869551056816
2023-05-02,56.29648129739827
2023-05-03,57.019807292010185
2023-05-04,56.78060211369599
2023-05-05,56.59692731529418
2023-05-06,56.864564360537614
2023-05-07,56.74830958443696
2023-05-08,56.70219417651695
2023-05-09,56.79829250953086
2023-05-10,56.746348485103596
2023-05-11,56.737822027429175
2023-05-12,56.771250152130634
2023-05-13,56.74931629388374
2023-05-14,56.7493933422952
2023-05-15,56.76061332946484
2023-05-16,56.751739845263494
2023-05-17,56.752955752267574
2023-05-18,56.75656208930343
2023-05-19,56.75309735911529
2023-05-20,56.753970502916275
